"","Group","singleR_main","mean_value","sd_value"
"1","3DPI","NK cells",0,NA
"2","5DPI","NK cells",0.0964738500204954,0.0652004456701712
"3","7DPI","NK cells",0.0672930683370711,0.0673576054398375
"4","3DPI","Dendritic cells",0,NA
"5","5DPI","Dendritic cells",0.0611659974640744,0.0243534860104021
"6","7DPI","Dendritic cells",0.0535193050530474,0.060819038269521
"7","3DPI","Microglia",0.00191570881226054,0.00331810499534268
"8","5DPI","Microglia",0.0524625983861533,0.040721451162047
"9","7DPI","Microglia",0.0759970033024534,0.0776132020401872
"10","3DPI","Macrophages",0,0
"11","5DPI","Macrophages",0.0459171696660323,0.0146870439820624
"12","7DPI","Macrophages",0.0559743364558938,0.0547329014436714
"13","3DPI","Neurons",0.000288004684105631,0.000358964774295256
"14","5DPI","Neurons",0.037879526908986,0.0288448337686187
"15","7DPI","Neurons",0.0591555975903689,0.0596788243385442
"16","3DPI","T cells",0,0
"17","5DPI","T cells",0.0399972131539135,0.0139665072411746
"18","7DPI","T cells",0.0465743582835388,0.0456215824469846
"19","3DPI","Fibroblasts",0.000542888165038002,0.000940309884673658
"20","5DPI","Fibroblasts",0.0147523222178541,0.00528164581044489
"21","7DPI","Fibroblasts",0.0612252162912956,0.0632962727453049
"22","3DPI","Monocytes",0.00925925925925926,0.0160375074774896
"23","5DPI","Monocytes",0.0236865547408924,0.00661272356982028
"24","7DPI","Monocytes",0.0357946918082359,0.0386242752694501
"25","3DPI","Granulocytes",0,0
"26","5DPI","Granulocytes",0,0
"27","7DPI","Granulocytes",0.0666666666666667,0.115470053837925
"28","3DPI","Endothelial cells",0.000322372662798195,0.000558365830937743
"29","5DPI","Endothelial cells",0.0240701805877889,0.016225487686278
"30","7DPI","Endothelial cells",0.0393025956751352,0.0414058423257118
"31","3DPI","Oligodendrocytes",0.000598294614118,0.000957052740273125
"32","5DPI","Oligodendrocytes",0.0362364791649498,0.0437851529480782
"33","7DPI","Oligodendrocytes",0.0237325891163158,0.0294780374859968
"34","3DPI","Adipocytes",0,0
"35","5DPI","Adipocytes",0.0152677754277833,0.00712989519366598
"36","7DPI","Adipocytes",0.0362080903057897,0.0361651253827117
"37","3DPI","Epithelial cells",0,0
"38","5DPI","Epithelial cells",0.0132304178847416,0.010860299563697
"39","7DPI","Epithelial cells",0.0189949775301393,0.0187235717259573
"40","3DPI","Astrocytes",0,0
"41","5DPI","Astrocytes",0.0103760860858313,0.00904579754873914
"42","7DPI","Astrocytes",0.0180113006687109,0.0194092822346982
"43","3DPI","B cells",0,NA
"44","5DPI","B cells",0,NA
"45","7DPI","B cells",0,0
